action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,short,1736446500000,92718.4,0.005392672867521441,100.0,94268.56428571428,516.7214285714269,二次死叉,,,,
close,short,1736446500000,92718.4,0.005392672867521441,95.22902573814903,,,,1736478900000.0,93510.0,-4.77097426185097,信号平仓
open,short,1736525700000,93393.7,0.0050982574701585355,95.22902573814903,96206.82142857142,937.7071428571393,死叉,,,,
close,short,1736525700000,93393.7,0.0050982574701585355,88.05654170643074,,,,1736595000000.0,94706.5,-7.172484031718297,信号平仓
open,short,1736615700000,94076.3,0.004680059786919274,88.05654170643074,94638.95000000001,187.55000000000084,死叉,,,,
close,short,1736615700000,94076.3,0.004680059786919274,84.98170674096886,,,,1736629200000.0,94638.95000000001,-3.0748349654618794,止损
open,short,1736666100000,94343.4,0.004503850123112421,84.98170674096886,94649.12142857142,101.90714285714161,死叉,,,,
close,short,1736666100000,94343.4,0.004503850123112421,83.17918625180762,,,,1736687700000.0,94649.12142857142,-1.8025204891612345,止损
open,short,1736719200000,93990.8,0.004424857871824031,83.17918625180762,94606.14285714286,205.1142857142851,死叉,,,,
close,short,1736719200000,93990.8,0.004424857871824031,80.03912423290669,,,,1736727300000.0,94606.14285714286,-3.1400620189009274,止损
open,short,1736735400000,94037.1,0.004255720573736679,80.03912423290669,95377.39285714286,446.7642857142824,死叉,,,,
close,short,1736735400000,94037.1,0.004255720573736679,96.75922014049803,,,,1736778600000.0,90016.22142857146,16.720095907591347,固定止盈
open,long,1736878500000,96590.5,0.0050087337854394605,96.75922014049803,94951.45,546.3500000000006,二次金叉,,,,
close,long,1736878500000,96590.5,0.0050087337854394605,108.86909476509175,,,,1737020700000.0,99106.1,12.10987462459372,信号平仓
open,long,1737048600000,99956.5,0.0054458236715517125,108.86909476509175,97964.39285714286,664.0357142857164,金叉,,,,
close,long,1737048600000,99956.5,0.0054458236715517125,126.88681150204955,,,,1737176400000.0,103366.7,18.017716736957812,信号平仓
open,long,1737208800000,104153.1,0.006091360290862661,126.88681150204955,103004.59285714287,382.83571428571304,金叉,,,,
close,long,1737208800000,104153.1,0.006091360290862661,119.25990462616909,,,,1737324000000.0,103004.59285714287,-7.626906875880469,止损
open,long,1737356400000,109024.4,0.005469413481118405,119.25990462616909,105841.82857142857,1060.8571428571408,金叉,,,,
close,long,1737356400000,109024.4,0.005469413481118405,101.26550942652548,,,,1737375300000.0,105841.82857142857,-17.99439519964361,止损
open,long,1737459900000,103725.0,0.0048814417655591935,101.26550942652548,102463.58571428571,420.471428571429,金叉,,,,
close,long,1737459900000,103725.0,0.0048814417655591935,106.97942031125079,,,,1737532800000.0,104999.9,5.713910884725304,信号平仓
open,long,1737644400000,103462.3,0.005169971105960857,106.97942031125079,100946.17857142858,838.7071428571414,金叉,,,,
close,long,1737644400000,103462.3,0.005169971105960857,105.75519390123208,,,,1737682200000.0,103328.9,-1.22422641001871,信号平仓
open,long,1737693900000,104580.1,0.005056181525033542,105.75519390123208,103199.77857142857,460.1071428571439,金叉,,,,
close,long,1737693900000,104580.1,0.005056181525033542,105.95818694900831,,,,1737758700000.0,104724.9,0.20299304777622523,信号平仓
open,long,1737819900000,104852.1,0.005052745102339787,105.95818694900831,104233.8642857143,206.07857142856977,金叉,,,,
close,long,1737819900000,104852.1,0.005052745102339787,104.08806796337733,,,,1737855000000.0,104586.7,-1.8701189856309846,信号平仓
open,long,1737903600000,104936.1,0.004959592931478172,104.08806796337733,104513.42142857143,140.8928571428582,金叉,,,,
close,long,1737903600000,104936.1,0.004959592931478172,101.47236212524354,,,,1737927900000.0,104513.42142857143,-2.61570583813379,止损
open,short,1737999000000,99547.0,0.005096706185281502,101.47236212524354,101824.06428571428,759.0214285714288,二次死叉,,,,
close,short,1737999000000,99547.0,0.005096706185281502,89.3536699215191,,,,1738011600000.0,101824.06428571428,-12.118692203724441,止损
open,short,1738095300000,101928.4,0.0043831586643918235,89.3536699215191,103301.95,457.85000000000167,死叉,,,,
close,short,1738095300000,101928.4,0.0043831586643918235,87.89344713058686,,,,1738128600000.0,102159.5,-1.460222790932242,信号平仓
open,short,1738161900000,101989.7,0.004308937428514197,87.89344713058686,103069.82857142857,360.04285714285754,死叉,,,,
close,short,1738161900000,101989.7,0.004308937428514197,85.09710595471914,,,,1738174500000.0,102536.4,-2.7963411758677177,信号平仓
open,long,1738174500000,102536.4,0.004149604723528383,85.09710595471914,101439.0,365.7999999999998,金叉,,,,
close,long,1738174500000,102536.4,0.004149604723528383,80.12012108945731,,,,1738178100000.0,101439.0,-4.976984865261819,止损
open,long,1738179000000,103418.1,0.00387360244915819,80.12012108945731,101671.13571428572,582.3214285714296,二次金叉,,,,
close,long,1738179000000,103418.1,0.00387360244915819,84.00700302253169,,,,1738281600000.0,104525.5,3.8868819330743722,信号平仓
open,long,1738329300000,104827.1,0.004006931557895416,84.00700302253169,104130.86428571428,232.07857142857392,金叉,,,,
close,long,1738329300000,104827.1,0.004006931557895416,80.79859403654137,,,,1738333800000.0,104130.86428571428,-3.2084089859903204,止损
open,short,1738348200000,103061.8,0.003919909900493751,80.79859403654137,104633.60714285714,523.9357142857126,死叉,,,,
close,short,1738348200000,103061.8,0.003919909900493751,98.88787022278756,,,,1738500300000.0,98346.37857142859,18.08927618624618,固定止盈
open,short,1738588500000,94341.5,0.005240952826846486,98.88787022278756,95592.73571428572,417.0785714285718,二次死叉,,,,
close,short,1738588500000,94341.5,0.005240952826846486,91.83248468415967,,,,1738593000000.0,95592.73571428572,-7.055385538627893,止损
open,short,1738653300000,98984.6,0.004638725856555447,91.83248468415967,100651.6142857143,555.6714285714291,死叉,,,,
close,short,1738653300000,98984.6,0.004638725856555447,87.95751297919885,,,,1738685700000.0,99720.6,-3.87497170496082,信号平仓
open,short,1738692000000,98986.8,0.004442891020782511,87.95751297919885,100972.41428571429,661.8714285714274,二次死叉,,,,
close,short,1738692000000,98986.8,0.004442891020782511,90.27680672213086,,,,1738761300000.0,98366.1,2.3192937429319977,信号平仓
open,short,1738773900000,97936.9,0.004608927111340612,90.27680672213086,99467.69285714286,510.26428571428653,死叉,,,,
close,short,1738773900000,97936.9,0.004608927111340612,90.87355562549408,,,,1738818900000.0,97709.6,0.5967489033632168,信号平仓
open,short,1738857600000,97486.5,0.004660827685140716,90.87355562549408,98942.14285714286,485.2142857142836,死叉,,,,
close,short,1738857600000,97486.5,0.004660827685140716,90.77498681031905,,,,1738899900000.0,97410.2,-0.09856881517503213,信号平仓
open,short,1738911600000,96874.1,0.0046852041366226395,90.77498681031905,97744.93571428572,290.27857142857,死叉,,,,
close,short,1738911600000,96874.1,0.0046852041366226395,88.66172033077086,,,,1738922400000.0,97228.1,-2.113266479548192,信号平仓
open,short,1738957500000,96840.1,0.004577737958282306,88.66172033077086,98321.82142857143,493.9071428571437,死叉,,,,
close,short,1738957500000,96840.1,0.004577737958282306,89.38815058079962,,,,1739042100000.0,96584.7,0.7264302500287593,信号平仓
open,short,1739104200000,96441.1,0.004634339020438361,89.38815058079962,96971.54285714286,176.81428571428427,死叉,,,,
close,short,1739104200000,96441.1,0.004634339020438361,96.31965329885188,,,,1739136600000.0,94849.77142857145,6.931502718052263,固定止盈
open,short,1739151900000,95544.0,0.0050405914185533305,96.31965329885188,97084.95,513.6500000000004,二次死叉,,,,
close,short,1739151900000,95544.0,0.0050405914185533305,89.30268656184474,,,,1739160000000.0,96839.9,-7.0169667370071425,信号平仓
open,short,1739280600000,97196.5,0.004593925015913368,89.30268656184474,97821.80714285714,208.43571428571573,死叉,,,,
close,short,1739280600000,97196.5,0.004593925015913368,97.4783244288271,,,,1739301300000.0,95320.57857142856,8.175637866982362,固定止盈
open,short,1739329200000,95342.6,0.0051120026320253,97.4783244288271,96197.83571428571,285.0785714285698,二次死叉,,,,
close,short,1739329200000,95342.6,0.0051120026320253,92.61677960064117,,,,1739347200000.0,96197.83571428571,-4.861544828185925,止损
open,short,1739428200000,96123.7,0.004817582947839147,92.61677960064117,96883.72857142857,253.3428571428563,死叉,,,,
close,short,1739428200000,96123.7,0.004817582947839147,90.95303576037504,,,,1739484000000.0,96372.8,-1.6637438402661189,信号平仓
open,long,1739544300000,97249.9,0.004676253433698906,90.95303576037504,96452.22142857143,265.8928571428561,二次金叉,,,,
close,long,1739544300000,97249.9,0.004676253433698906,86.76998849652162,,,,1739546100000.0,96452.22142857143,-4.1830472638534255,止损
open,long,1739551500000,97626.8,0.00444396356822725,86.76998849652162,96231.2,465.2000000000002,二次金叉,,,,
close,long,1739551500000,97626.8,0.00444396356822725,85.20571532028923,,,,1739641500000.0,97372.3,-1.5642731762323867,信号平仓
