action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,short,1738732500000,97905.2,0.0021578904867132747,42.2537399359521,98946.07142857142,346.95714285714246,二次死叉,,,,
close,short,1738732500000,97905.2,0.0021578904867132747,39.7952616393896,,,,1738765800000.0,98946.07142857142,-2.4584782965624936,止损
open,short,1738773900000,97936.9,0.0020316786440754,39.7952616393896,99467.69285714286,510.26428571428653,死叉,,,,
close,short,1738773900000,97936.9,0.0020316786440754,36.484651135254154,,,,1738936800000.0,99467.69285714286,-3.310610504135449,止损
open,short,1738957500000,96840.1,0.0018837574070686704,36.484651135254154,98321.82142857143,493.9071428571437,死叉,,,,
close,short,1738957500000,96840.1,0.0018837574070686704,33.50962856143594,,,,1739195100000.0,98321.82142857143,-2.9750225738182134,止损
open,short,1739280600000,97196.5,0.0017238083964667423,33.50962856143594,97821.80714285714,208.43571428571573,死叉,,,,
close,short,1739280600000,97196.5,0.0017238083964667423,36.57742639286694,,,,1739301300000.0,95320.57857142856,3.0677978314309975,固定止盈
open,short,1739329200000,95342.6,0.0019182100337554746,36.57742639286694,96197.83571428571,285.0785714285698,二次死叉,,,,
close,short,1739329200000,95342.6,0.0019182100337554746,34.75319727166955,,,,1739347200000.0,96197.83571428571,-1.8242291211973929,止损
open,short,1739428200000,96123.7,0.0018077330185828028,34.75319727166955,96883.72857142857,253.3428571428563,死叉,,,,
close,short,1739428200000,96123.7,0.0018077330185828028,33.20481557730164,,,,1739493000000.0,96883.72857142857,-1.5483816943679127,止损
open,long,1739544300000,97249.9,0.0017071902170234438,33.20481557730164,96452.22142857143,265.8928571428561,二次金叉,,,,
close,long,1739544300000,97249.9,0.0017071902170234438,31.677683340469784,,,,1739546100000.0,96452.22142857143,-1.527132236831855,止损
open,long,1739551500000,97626.8,0.0016223866469283939,31.677683340469784,96231.2,465.2000000000002,二次金叉,,,,
close,long,1739551500000,97626.8,0.0016223866469283939,29.256224220716387,,,,1739747700000.0,96231.2,-2.4214591197533983,止损
open,short,1739837700000,95560.0,0.0015307777428168893,29.256224220716387,96189.35714285713,209.78571428571118,二次死叉,,,,
close,short,1739837700000,95560.0,0.0015307777428168893,28.146055490090998,,,,1739843100000.0,96189.35714285713,-1.1101687306253907,止损
open,short,1739857500000,95576.8,0.0014724313583469523,28.146055490090998,96098.22142857143,173.80714285714203,死叉,,,,
close,short,1739857500000,95576.8,0.0014724313583469523,27.23718407166674,,,,1739881800000.0,96098.22142857143,-0.9088714184242597,止损
