action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,short,1736446500000,92718.4,0.005392672867521441,100.0,94268.56428571428,516.7214285714269,二次死叉,,,,
close,short,1736446500000,92718.4,0.005392672867521441,91.13629135178593,,,,1736491500000.0,94268.56428571428,-8.863708648214077,止损
open,short,1736525700000,93393.7,0.0048791455607704775,91.13629135178593,96206.82142857142,937.7071428571393,死叉,,,,
close,short,1736525700000,93393.7,0.0048791455607704775,76.94811815043937,,,,1736846100000.0,96206.82142857142,-14.188173201346554,止损
open,long,1736878500000,96590.5,0.003983213574339059,76.94811815043937,94951.45,546.3500000000006,二次金叉,,,,
close,long,1736878500000,96590.5,0.003983213574339059,109.19048688926685,,,,1737131400000.0,104785.75000000001,32.24236873882748,固定止盈
open,long,1737208800000,104153.1,0.0052418260661116585,109.19048688926685,103004.59285714287,382.83571428571304,金叉,,,,
close,long,1737208800000,104153.1,0.0052418260661116585,102.6272699136158,,,,1737324000000.0,103004.59285714287,-6.563216975651041,止损
open,long,1737356400000,109024.4,0.00470661933996499,102.6272699136158,105841.82857142857,1060.8571428571408,金叉,,,,
close,long,1737356400000,109024.4,0.00470661933996499,87.14247090363175,,,,1737375300000.0,105841.82857142857,-15.484799009984064,止损
open,long,1737459900000,103725.0,0.004200649356646505,87.14247090363175,102463.58571428571,420.471428571429,金叉,,,,
close,long,1737459900000,103725.0,0.004200649356646505,81.41064882091703,,,,1737597600000.0,102463.58571428571,-5.7318220827147135,止损
open,long,1737644400000,103462.3,0.00393431466441965,81.41064882091703,100946.17857142858,838.7071428571414,金叉,,,,
close,long,1737644400000,103462.3,0.00393431466441965,71.10933174964032,,,,1737943200000.0,100946.17857142858,-10.301317071276708,止损
open,short,1737999000000,99547.0,0.0035716461445166763,71.10933174964032,101824.06428571428,759.0214285714288,二次死叉,,,,
close,short,1737999000000,99547.0,0.0035716461445166763,62.61685078006564,,,,1738011600000.0,101824.06428571428,-8.492480969574679,止损
open,short,1738095300000,101928.4,0.0030716096191083964,62.61685078006564,103301.95,457.85000000000167,死叉,,,,
close,short,1738095300000,101928.4,0.0030716096191083964,58.0826476291428,,,,1738179000000.0,103301.95,-4.534203150922838,止损
open,long,1738179000000,103418.1,0.0028081471052525037,58.0826476291428,101671.13571428572,582.3214285714296,二次金叉,,,,
close,long,1738179000000,103418.1,0.0028081471052525037,52.888954555439945,,,,1738354500000.0,101671.13571428572,-5.1936930737028515,止损
open,short,1738418400000,101924.9,0.002594506080233581,52.888954555439945,102453.45714285715,176.18571428571678,二次死叉,,,,
close,short,1738418400000,101924.9,0.002594506080233581,59.48466174893382,,,,1738467900000.0,99282.11428571424,6.595707193493871,固定止盈
open,short,1738588500000,94341.5,0.0031526243354692168,59.48466174893382,95592.73571428572,417.0785714285718,二次死叉,,,,
close,short,1738588500000,94341.5,0.0031526243354692168,55.24058993984264,,,,1738593000000.0,95592.73571428572,-4.244071809091175,止损
open,short,1738653300000,98984.6,0.0027903628412825144,55.24058993984264,100651.6142857143,555.6714285714291,死叉,,,,
close,short,1738653300000,98984.6,0.0027903628412825144,50.310486484039785,,,,1738696500000.0,100651.6142857143,-4.93010345580286,止损
