action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,close_time,close_price,pnl,close_reason
open,short,1736521200000,92318.4,0.005416038406211547,100.0,93727.47142857141,704.5357142857101,,,,
close,short,1736521200000,92318.4,0.005416038406211547,92.36841502576182,,,1736523000000.0,93727.47142857141,-7.631584974238183,止损
open,short,1736560800000,94277.0,0.004898777805072384,92.36841502576182,94672.62857142858,197.81428571428737,,,,
close,short,1736560800000,94277.0,0.004898777805072384,91.07905670746678,,,1736594100000.0,94540.2,-1.2893583182950372,信号平仓
open,short,1736615700000,94076.3,0.0048407014682479415,91.07905670746678,94451.40000000001,187.55000000000084,,,,
close,short,1736615700000,94076.3,0.0048407014682479415,89.26330958672695,,,1736627400000.0,94451.40000000001,-1.815747120739831,止损
open,short,1736664300000,94324.0,0.004731738984072292,89.26330958672695,94523.5,99.74999999999896,,,,
close,short,1736664300000,94324.0,0.004731738984072292,88.31932765940452,,,1736684100000.0,94523.5,-0.9439819273224221,止损
open,short,1736718300000,94300.9,0.004682846487117542,88.31932765940452,94671.78571428571,185.4428571428559,,,,
close,short,1736718300000,94300.9,0.004682846487117542,86.58252679513957,,,1736727300000.0,94671.78571428571,-1.736800864264945,止损
open,short,1736940600000,96650.0,0.004479178830581457,86.58252679513957,97166.22857142857,258.1142857142872,,,,
close,short,1736940600000,96650.0,0.004479178830581457,84.27024670625542,,,1736944200000.0,97166.22857142857,-2.31228008888415,止损
open,long,1737048600000,99956.5,0.004215346010827481,84.27024670625542,98628.42857142857,664.0357142857164,,,,
close,long,1737048600000,99956.5,0.004215346010827481,99.33842255655937,,,1737171900000.0,103531.1,15.06817585030394,信号平仓
open,long,1737207900000,104327.4,0.004760898026623848,99.33842255655937,103571.97142857143,377.7142857142847,,,,
close,long,1737207900000,104327.4,0.004760898026623848,95.74190416158984,,,1737217800000.0,103571.97142857143,-3.5965183949695283,止损
open,long,1737355500000,107554.0,0.004450876032578512,95.74190416158984,105670.1,941.9499999999981,,,,
close,long,1737355500000,107554.0,0.004450876032578512,87.35689880381521,,,1737375300000.0,105670.1,-8.385005357774633,止损
open,long,1737456300000,103144.7,0.004234677050968941,87.35689880381521,102279.01428571428,432.8428571428584,,,,
close,long,1737456300000,103144.7,0.004234677050968941,97.77251047837845,,,1737523800000.0,105604.3,10.415611674563232,信号平仓
open,long,1737643500000,105167.7,0.004648409658021353,97.77251047837845,103892.27142857143,637.7142857142836,,,,
