open_time,open,high,low,close,volume,close_time
1736204400000,101965.9,102200.0,101852.1,102180.4,2612.703,1736207999999
1736208000000,102180.5,102762.1,101890.3,102004.7,8901.098,1736211599999
1736211600000,102004.6,102028.2,101646.2,101873.9,3960.943,1736215199999
1736215200000,101873.9,101979.9,101608.5,101627.7,2225.27,1736218799999
1736218800000,101627.7,101785.7,101459.4,101661.3,3037.024,1736222399999
1736222400000,101661.4,101885.0,101610.4,101610.7,1978.308,1736225999999
1736226000000,101610.8,101749.0,101528.8,101698.8,2940.368,1736229599999
1736229600000,101698.8,101857.9,101596.4,101771.0,1821.642,1736233199999
1736233200000,101771.1,101986.1,101600.9,101649.3,2847.376,1736236799999
1736236800000,101649.3,101973.1,101580.0,101862.0,3170.205,1736240399999
1736240400000,101862.1,101888.7,101600.1,101682.6,2376.418,1736243999999
1736244000000,101682.7,101682.7,101333.0,101366.9,5575.765,1736247599999
1736247600000,101366.8,101430.8,100435.4,100787.0,16121.918,1736251199999
1736251200000,100787.0,100907.6,100580.0,100712.3,5999.358,1736254799999
1736254800000,100712.4,100914.2,100558.4,100590.0,4533.964,1736258399999
1736258400000,100590.1,100833.1,99702.0,99945.3,19328.557,1736261999999
1736262000000,99945.3,100114.5,97100.0,97915.3,72710.75,1736265599999
1736265600000,97915.4,98307.9,97529.1,97706.3,17474.518,1736269199999
1736269200000,97706.4,97775.0,96530.8,97250.9,24988.588,1736272799999
1736272800000,97250.8,97514.7,96579.0,96729.2,13023.463,1736276399999
1736276400000,96729.1,97170.0,96295.9,96433.3,12948.291,1736279999999
1736280000000,96433.3,96849.5,96153.0,96504.8,14468.548,1736283599999
1736283600000,96504.7,97074.3,96358.7,96475.7,8239.74,1736287199999
1736287200000,96475.7,97185.8,96377.5,97128.8,4904.63,1736290799999
1736290800000,97128.8,97137.0,96758.7,96920.3,5134.567,1736294399999
1736294400000,96920.2,97242.2,96669.4,97228.0,6054.329,1736297999999
1736298000000,97228.0,97228.1,96571.0,96867.0,4225.599,1736301599999
1736301600000,96867.1,97143.9,96736.4,96829.7,3389.991,1736305199999
1736305200000,96829.7,96830.1,96200.0,96504.1,8920.271,1736308799999
1736308800000,96504.1,96600.0,96010.0,96248.9,7297.081,1736312399999
1736312400000,96248.9,96616.3,96069.2,96454.6,5062.71,1736315999999
1736316000000,96454.7,96605.5,95225.3,95267.9,17436.014,1736319599999
1736319600000,95267.8,95798.0,95222.0,95628.4,8582.64,1736323199999
1736323200000,95628.3,96100.0,95500.0,95910.9,6308.108,1736326799999
1736326800000,95910.9,96072.6,95369.6,95401.0,4652.252,1736330399999
1736330400000,95400.9,95964.6,95400.9,95913.0,4573.005,1736333999999
1736334000000,95913.1,96015.8,94480.7,95093.9,17901.879,1736337599999
1736337600000,95093.8,95335.1,94808.5,94849.6,9095.257,1736341199999
1736341200000,94849.6,95629.0,94849.6,95343.6,9961.319,1736344799999
1736344800000,95343.5,95848.6,94839.5,95256.9,14167.231,1736348399999
1736348400000,95256.8,96064.5,94588.9,95450.0,22545.668,1736351999999
1736352000000,95449.9,95456.2,94513.0,94744.0,9908.571,1736355599999
1736355600000,94743.9,94813.0,92500.0,93974.8,44140.048,1736359199999
