open_time,open,high,low,close,volume,close_time
1730116800000,2526.54,2535.88,2497.5,2500.3,683976.748,1730131199999
1730131200000,2500.29,2523.97,2485.0,2503.77,580743.514,1730145599999
1730145600000,2518.92,2590.78,2516.54,2566.49,559286.798,1730159999999
1730160000000,2566.48,2631.78,2560.3,2607.57,648007.625,1730174399999
1730174400000,2607.58,2626.33,2607.36,2613.1,287400.92,1730188799999
1730188800000,2613.09,2638.67,2612.47,2631.08,297625.164,1730203199999
1730203200000,2631.07,2651.1,2610.93,2648.12,579747.559,1730217599999
1730217600000,2648.11,2681.83,2621.25,2624.4,779809.288,1730231999999
1730232000000,2624.43,2648.81,2606.23,2639.28,418834.724,1730246399999
1730246400000,2639.28,2653.0,2599.9,2642.46,444643.595,1730260799999
1730260800000,2642.46,2686.27,2637.04,2669.43,425918.229,1730275199999
1730275200000,2669.43,2698.0,2657.53,2659.91,604740.468,1730289599999
1730289600000,2659.92,2724.65,2653.69,2683.59,1073961.347,1730303999999
1730304000000,2683.59,2696.9,2653.37,2655.31,426990.843,1730318399999
1730318400000,2655.34,2688.12,2634.03,2659.36,526897.311,1730332799999
1730332800000,2659.35,2669.74,2637.0,2657.59,266493.816,1730347199999
1730347200000,2657.59,2658.56,2631.81,2647.05,267709.839,1730361599999
1730361600000,2647.05,2649.0,2625.35,2638.78,355169.037,1730375999999
1730376000000,2638.78,2641.43,2540.87,2562.89,1233431.122,1730390399999
1730390400000,2562.89,2564.04,2506.0,2514.31,730521.615,1730404799999
1730404800000,2514.3,2528.66,2502.5,2518.37,351877.401,1730419199999
1730419200000,2518.37,2533.0,2467.3,2503.26,679047.172,1730433599999
1730433600000,2503.26,2516.67,2485.32,2504.14,318919.333,1730447999999
1730448000000,2504.13,2526.26,2493.67,2515.84,349226.054,1730462399999
1730462400000,2515.85,2587.86,2481.44,2500.03,1238644.807,1730476799999
1730476800000,2500.03,2538.99,2495.1,2514.72,607874.854,1730491199999
1730491200000,2514.71,2528.0,2486.0,2511.57,257310.417,1730505599999
1730505600000,2511.57,2523.8,2500.6,2506.58,152923.817,1730519999999
1730520000000,2506.58,2513.79,2498.86,2507.2,117939.02,1730534399999
1730534400000,2507.2,2510.18,2491.0,2501.81,185147.427,1730548799999
1730548800000,2501.81,2504.17,2467.1,2488.18,527425.734,1730563199999
1730563200000,2488.18,2497.25,2478.76,2492.73,151586.117,1730577599999
1730577600000,2492.73,2497.49,2484.37,2493.61,78712.22,1730591999999
