open_time,open,high,low,close,volume,close_time
1751426100000,2423.41,2431.51,2421.26,2427.43,61220.248,1751426999999
1751427000000,2427.44,2428.71,2424.45,2426.35,30568.495,1751427899999
1751427900000,2426.35,2430.48,2425.09,2429.23,26772.815,1751428799999
1751428800000,2429.22,2429.82,2424.13,2428.04,27976.712,1751429699999
1751429700000,2428.03,2433.06,2425.0,2430.34,28222.996,1751430599999
1751430600000,2430.34,2436.0,2427.83,2434.44,36282.801,1751431499999
1751431500000,2434.44,2440.74,2433.0,2438.49,58802.67,1751432399999
1751432400000,2438.49,2438.97,2433.17,2434.89,38655.35,1751433299999
1751433300000,2434.89,2446.43,2434.89,2438.02,90873.947,1751434199999
1751434200000,2438.02,2441.69,2436.61,2440.53,27531.618,1751435099999
1751435100000,2440.53,2444.95,2439.35,2443.18,35589.84,1751435999999
1751436000000,2443.19,2448.12,2442.83,2446.14,51598.059,1751436899999
1751436900000,2446.13,2447.5,2437.31,2439.48,43546.773,1751437799999
1751437800000,2439.48,2447.9,2439.48,2446.78,41146.591,1751438699999
1751438700000,2446.78,2452.77,2446.05,2450.56,57314.234,1751439599999
1751439600000,2450.56,2453.53,2441.26,2441.46,51170.995,1751440499999
1751440500000,2441.46,2446.59,2441.36,2442.2,31622.468,1751441399999
1751441400000,2442.2,2449.72,2441.77,2446.78,29667.894,1751442299999
1751442300000,2446.77,2449.0,2445.47,2445.75,17582.609,1751443199999
1751443200000,2445.76,2451.5,2445.75,2449.3,41778.316,1751444099999
1751444100000,2449.3,2454.8,2448.52,2450.33,41341.779,1751444999999
1751445000000,2450.33,2451.23,2445.11,2448.68,44401.343,1751445899999
1751445900000,2448.68,2449.0,2443.21,2447.99,34164.059,1751446799999
1751446800000,2447.99,2450.33,2444.88,2449.55,28675.188,1751447699999
1751447700000,2449.55,2452.3,2447.24,2447.79,31870.09,1751448599999
1751448600000,2447.79,2450.42,2445.02,2450.03,20175.157,1751449499999
1751449500000,2450.02,2451.0,2445.61,2447.61,27704.774,1751450399999
1751450400000,2447.61,2448.0,2442.23,2446.75,50820.946,1751451299999
1751451300000,2446.77,2448.8,2445.97,2447.3,19886.064,1751452199999
1751452200000,2447.31,2451.05,2447.16,2451.05,21158.418,1751453099999
1751453100000,2451.05,2453.0,2448.98,2452.1,18323.268,1751453999999
1751454000000,2452.1,2460.0,2450.52,2457.0,69213.14,1751454899999
1751454900000,2457.0,2457.34,2452.75,2453.61,25322.128,1751455799999
1751455800000,2453.61,2453.83,2445.11,2447.01,49000.282,1751456699999
1751456700000,2447.01,2447.02,2440.32,2444.53,46304.799,1751457599999
1751457600000,2444.53,2446.55,2441.02,2443.38,23740.244,1751458499999
1751458500000,2443.38,2443.39,2437.16,2441.56,60883.256,1751459399999
1751459400000,2441.57,2442.37,2430.42,2432.57,77879.19,1751460299999
1751460300000,2432.57,2437.35,2431.83,2437.34,36648.152,1751461199999
1751461200000,2437.35,2448.82,2435.29,2448.01,74887.24,1751462099999
1751462100000,2448.01,2448.14,2442.68,2446.32,23468.515,1751462999999
1751463000000,2446.32,2453.73,2441.66,2450.95,67196.748,1751463899999
1751463900000,2450.96,2457.47,2445.0,2448.36,75629.103,1751464799999
1751464800000,2448.35,2455.62,2447.22,2454.41,38515.127,1751465699999
1751465700000,2454.41,2471.71,2448.75,2462.81,128352.838,1751466599999
1751466600000,2462.81,2469.16,2458.43,2458.43,89538.485,1751467499999
1751467500000,2458.44,2471.0,2458.24,2468.34,68286.469,1751468399999
