2025-07-07 15:21:08 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:21:08 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:21:08 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:21:08 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:21:14 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:21:15 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:21:15 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:21:15 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:02 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:04 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:04 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:04 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:04 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:06 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:07 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:07 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:07 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:07 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:09 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:11 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:11 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:11 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:11 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:12 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:12 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:12 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:12 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:13 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:13 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:13 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:13 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:14 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:14 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:14 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:14 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:24:16 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:24:18 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:24:18 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:24:18 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
