2025-07-05 23:17:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:17:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:17:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:17:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:17:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:17:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:17:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:17:56 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:17:56 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:17:56 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:17:57 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:17:57 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:17:57 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:17:57 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:01 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:18:01 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:18:01 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:18:01 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:04 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:18:04 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:18:04 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:18:04 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:08 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:18:08 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:18:08 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:18:08 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:18:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:18:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:18:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:18:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:18:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
