2025-07-07 14:04:45 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-07 14:04:45 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-07 14:04:45 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 14:04:45 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 14:09:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-07 14:09:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-07 14:09:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 14:09:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 14:10:06 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-07 14:10:06 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-07 14:10:06 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 14:10:06 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 14:11:50 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-07 14:11:50 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-07 14:11:50 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 14:11:50 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 14:12:15 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-07 14:12:15 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-07 14:12:15 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 14:12:15 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 14:16:10 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-07 14:16:10 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-07 14:16:10 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 14:16:10 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 14:18:39 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-07 14:18:39 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-07 14:18:39 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 14:18:39 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
