2025-07-07 15:16:42 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:16:42 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:16:42 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:16:42 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:16:50 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:16:52 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:16:52 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:16:52 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:16:52 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:16:53 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:16:53 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:16:53 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:16:53 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:16:55 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:16:55 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:16:55 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:16:55 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:17:03 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:17:10 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:17:10 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:17:10 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:17:10 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:17:15 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-07 15:17:53 | INFO     | __main__:get_account:57 - 收到的exchange参数: %s
2025-07-07 15:17:53 | INFO     | __main__:get_account:59 - ex实例类型: %s
2025-07-07 15:17:53 | INFO     | __main__:get_account:61 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-07 15:17:53 | INFO     | __main__:get_account:62 - web_app.py用的BACKPACK_API_SECRET: %s
