2025-07-05 22:56:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:56:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:56:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:56:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:56:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:56:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:56:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:56:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:56:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:56:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:56:56 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:56:56 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:56:56 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:56:57 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:56:57 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:56:57 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:56:57 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:01 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:01 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:01 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:01 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:04 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:04 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:04 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:04 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:08 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:08 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:08 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:08 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:56 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:56 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:56 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:57 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:57 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:57 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:57 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:57:58 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:57:58 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:57:58 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:57:58 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:58:01 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:58:01 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:58:01 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:58:01 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:58:04 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:58:04 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:58:04 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:58:04 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 22:58:08 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 22:58:08 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 22:58:08 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 22:58:08 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
